,survived,pclass,sex,age,sibsp,parch,fare,embarked,who,alone
0,0,3,0,22.0,1,0,7.25,0,0,0
1,1,1,1,38.0,1,0,71.2833,1,1,0
2,1,3,1,26.0,0,0,7.925,0,1,1
3,1,1,1,35.0,1,0,53.1,0,1,0
4,0,3,0,35.0,0,0,8.05,0,0,1
5,0,3,0,28.0,0,0,8.4583,2,0,1
6,0,1,0,54.0,0,0,51.8625,0,0,1
7,0,3,0,2.0,3,1,21.075,0,2,0
8,1,3,1,27.0,0,2,11.1333,0,1,0
9,1,2,1,14.0,1,0,30.0708,1,2,0
10,1,3,1,4.0,1,1,16.7,0,2,0
11,1,1,1,58.0,0,0,26.55,0,1,1
12,0,3,0,20.0,0,0,8.05,0,0,1
13,0,3,0,39.0,1,5,31.275,0,0,0
14,0,3,1,14.0,0,0,7.8542,0,2,1
15,1,2,1,55.0,0,0,16.0,0,1,1
16,0,3,0,2.0,4,1,29.125,2,2,0
17,1,2,0,28.0,0,0,13.0,0,0,1
18,0,3,1,31.0,1,0,18.0,0,1,0
19,1,3,1,28.0,0,0,7.225,1,1,1
20,0,2,0,35.0,0,0,26.0,0,0,1
21,1,2,0,34.0,0,0,13.0,0,0,1
22,1,3,1,15.0,0,0,8.0292,2,2,1
23,1,1,0,28.0,0,0,35.5,0,0,1
24,0,3,1,8.0,3,1,21.075,0,2,0
25,1,3,1,38.0,1,5,31.3875,0,1,0
26,0,3,0,28.0,0,0,7.225,1,0,1
27,0,1,0,19.0,3,2,263.0,0,0,0
28,1,3,1,28.0,0,0,7.8792,2,1,1
29,0,3,0,28.0,0,0,7.8958,0,0,1
30,0,1,0,40.0,0,0,27.7208,1,0,1
31,1,1,1,28.0,1,0,146.5208,1,1,0
32,1,3,1,28.0,0,0,7.75,2,1,1
33,0,2,0,66.0,0,0,10.5,0,0,1
34,0,1,0,28.0,1,0,82.1708,1,0,0
35,0,1,0,42.0,1,0,52.0,0,0,0
36,1,3,0,28.0,0,0,7.2292,1,0,1
37,0,3,0,21.0,0,0,8.05,0,0,1
38,0,3,1,18.0,2,0,18.0,0,1,0
39,1,3,1,14.0,1,0,11.2417,1,2,0
40,0,3,1,40.0,1,0,9.475,0,1,0
41,0,2,1,27.0,1,0,21.0,0,1,0
42,0,3,0,28.0,0,0,7.8958,1,0,1
43,1,2,1,3.0,1,2,41.5792,1,2,0
44,1,3,1,19.0,0,0,7.8792,2,1,1
45,0,3,0,28.0,0,0,8.05,0,0,1
46,0,3,0,28.0,1,0,15.5,2,0,0
47,1,3,1,28.0,0,0,7.75,2,1,1
48,0,3,0,28.0,2,0,21.6792,1,0,0
49,0,3,1,18.0,1,0,17.8,0,1,0
50,0,3,0,7.0,4,1,39.6875,0,2,0
51,0,3,0,21.0,0,0,7.8,0,0,1
52,1,1,1,49.0,1,0,76.7292,1,1,0
53,1,2,1,29.0,1,0,26.0,0,1,0
54,0,1,0,65.0,0,1,61.9792,1,0,0
55,1,1,0,28.0,0,0,35.5,0,0,1
56,1,2,1,21.0,0,0,10.5,0,1,1
57,0,3,0,28.5,0,0,7.2292,1,0,1
58,1,2,1,5.0,1,2,27.75,0,2,0
59,0,3,0,11.0,5,2,46.9,0,2,0
60,0,3,0,22.0,0,0,7.2292,1,0,1
61,1,1,1,38.0,0,0,80.0,0,1,1
62,0,1,0,45.0,1,0,83.475,0,0,0
63,0,3,0,4.0,3,2,27.9,0,2,0
64,0,1,0,28.0,0,0,27.7208,1,0,1
65,1,3,0,28.0,1,1,15.2458,1,0,0
66,1,2,1,29.0,0,0,10.5,0,1,1
67,0,3,0,19.0,0,0,8.1583,0,0,1
68,1,3,1,17.0,4,2,7.925,0,1,0
69,0,3,0,26.0,2,0,8.6625,0,0,0
70,0,2,0,32.0,0,0,10.5,0,0,1
71,0,3,1,16.0,5,2,46.9,0,1,0
72,0,2,0,21.0,0,0,73.5,0,0,1
73,0,3,0,26.0,1,0,14.4542,1,0,0
74,1,3,0,32.0,0,0,56.4958,0,0,1
75,0,3,0,25.0,0,0,7.65,0,0,1
76,0,3,0,28.0,0,0,7.8958,0,0,1
77,0,3,0,28.0,0,0,8.05,0,0,1
78,1,2,0,0.83,0,2,29.0,0,2,0
79,1,3,1,30.0,0,0,12.475,0,1,1
80,0,3,0,22.0,0,0,9.0,0,0,1
81,1,3,0,29.0,0,0,9.5,0,0,1
82,1,3,1,28.0,0,0,7.7875,2,1,1
83,0,1,0,28.0,0,0,47.1,0,0,1
84,1,2,1,17.0,0,0,10.5,0,1,1
85,1,3,1,33.0,3,0,15.85,0,1,0
86,0,3,0,16.0,1,3,34.375,0,0,0
87,0,3,0,28.0,0,0,8.05,0,0,1
88,1,1,1,23.0,3,2,263.0,0,1,0
89,0,3,0,24.0,0,0,8.05,0,0,1
90,0,3,0,29.0,0,0,8.05,0,0,1
91,0,3,0,20.0,0,0,7.8542,0,0,1
92,0,1,0,46.0,1,0,61.175,0,0,0
93,0,3,0,26.0,1,2,20.575,0,0,0
94,0,3,0,59.0,0,0,7.25,0,0,1
95,0,3,0,28.0,0,0,8.05,0,0,1
96,0,1,0,71.0,0,0,34.6542,1,0,1
97,1,1,0,23.0,0,1,63.3583,1,0,0
98,1,2,1,34.0,0,1,23.0,0,1,0
99,0,2,0,34.0,1,0,26.0,0,0,0
100,0,3,1,28.0,0,0,7.8958,0,1,1
101,0,3,0,28.0,0,0,7.8958,0,0,1
102,0,1,0,21.0,0,1,77.2875,0,0,0
103,0,3,0,33.0,0,0,8.6542,0,0,1
104,0,3,0,37.0,2,0,7.925,0,0,0
105,0,3,0,28.0,0,0,7.8958,0,0,1
106,1,3,1,21.0,0,0,7.65,0,1,1
107,1,3,0,28.0,0,0,7.775,0,0,1
108,0,3,0,38.0,0,0,7.8958,0,0,1
109,1,3,1,28.0,1,0,24.15,2,1,0
110,0,1,0,47.0,0,0,52.0,0,0,1
111,0,3,1,14.5,1,0,14.4542,1,2,0
112,0,3,0,22.0,0,0,8.05,0,0,1
113,0,3,1,20.0,1,0,9.825,0,1,0
114,0,3,1,17.0,0,0,14.4583,1,1,1
115,0,3,0,21.0,0,0,7.925,0,0,1
116,0,3,0,70.5,0,0,7.75,2,0,1
117,0,2,0,29.0,1,0,21.0,0,0,0
118,0,1,0,24.0,0,1,247.5208,1,0,0
119,0,3,1,2.0,4,2,31.275,0,2,0
120,0,2,0,21.0,2,0,73.5,0,0,0
121,0,3,0,28.0,0,0,8.05,0,0,1
122,0,2,0,32.5,1,0,30.0708,1,0,0
123,1,2,1,32.5,0,0,13.0,0,1,1
124,0,1,0,54.0,0,1,77.2875,0,0,0
125,1,3,0,12.0,1,0,11.2417,1,2,0
126,0,3,0,28.0,0,0,7.75,2,0,1
127,1,3,0,24.0,0,0,7.1417,0,0,1
128,1,3,1,28.0,1,1,22.3583,1,1,0
129,0,3,0,45.0,0,0,6.975,0,0,1
130,0,3,0,33.0,0,0,7.8958,1,0,1
131,0,3,0,20.0,0,0,7.05,0,0,1
132,0,3,1,47.0,1,0,14.5,0,1,0
133,1,2,1,29.0,1,0,26.0,0,1,0
134,0,2,0,25.0,0,0,13.0,0,0,1
135,0,2,0,23.0,0,0,15.0458,1,0,1
136,1,1,1,19.0,0,2,26.2833,0,1,0
137,0,1,0,37.0,1,0,53.1,0,0,0
138,0,3,0,16.0,0,0,9.2167,0,0,1
139,0,1,0,24.0,0,0,79.2,1,0,1
140,0,3,1,28.0,0,2,15.2458,1,1,0
141,1,3,1,22.0,0,0,7.75,0,1,1
142,1,3,1,24.0,1,0,15.85,0,1,0
143,0,3,0,19.0,0,0,6.75,2,0,1
144,0,2,0,18.0,0,0,11.5,0,0,1
145,0,2,0,19.0,1,1,36.75,0,0,0
146,1,3,0,27.0,0,0,7.7958,0,0,1
147,0,3,1,9.0,2,2,34.375,0,2,0
148,0,2,0,36.5,0,2,26.0,0,0,0
149,0,2,0,42.0,0,0,13.0,0,0,1
150,0,2,0,51.0,0,0,12.525,0,0,1
151,1,1,1,22.0,1,0,66.6,0,1,0
152,0,3,0,55.5,0,0,8.05,0,0,1
153,0,3,0,40.5,0,2,14.5,0,0,0
154,0,3,0,28.0,0,0,7.3125,0,0,1
155,0,1,0,51.0,0,1,61.3792,1,0,0
156,1,3,1,16.0,0,0,7.7333,2,1,1
157,0,3,0,30.0,0,0,8.05,0,0,1
158,0,3,0,28.0,0,0,8.6625,0,0,1
159,0,3,0,28.0,8,2,69.55,0,0,0
160,0,3,0,44.0,0,1,16.1,0,0,0
161,1,2,1,40.0,0,0,15.75,0,1,1
162,0,3,0,26.0,0,0,7.775,0,0,1
163,0,3,0,17.0,0,0,8.6625,0,0,1
164,0,3,0,1.0,4,1,39.6875,0,2,0
165,1,3,0,9.0,0,2,20.525,0,2,0
166,1,1,1,28.0,0,1,55.0,0,1,0
167,0,3,1,45.0,1,4,27.9,0,1,0
168,0,1,0,28.0,0,0,25.925,0,0,1
169,0,3,0,28.0,0,0,56.4958,0,0,1
170,0,1,0,61.0,0,0,33.5,0,0,1
171,0,3,0,4.0,4,1,29.125,2,2,0
172,1,3,1,1.0,1,1,11.1333,0,2,0
173,0,3,0,21.0,0,0,7.925,0,0,1
174,0,1,0,56.0,0,0,30.6958,1,0,1
175,0,3,0,18.0,1,1,7.8542,0,0,0
176,0,3,0,28.0,3,1,25.4667,0,0,0
177,0,1,1,50.0,0,0,28.7125,1,1,1
178,0,2,0,30.0,0,0,13.0,0,0,1
179,0,3,0,36.0,0,0,0.0,0,0,1
180,0,3,1,28.0,8,2,69.55,0,1,0
181,0,2,0,28.0,0,0,15.05,1,0,1
182,0,3,0,9.0,4,2,31.3875,0,2,0
183,1,2,0,1.0,2,1,39.0,0,2,0
184,1,3,1,4.0,0,2,22.025,0,2,0
185,0,1,0,28.0,0,0,50.0,0,0,1
186,1,3,1,28.0,1,0,15.5,2,1,0
187,1,1,0,45.0,0,0,26.55,0,0,1
188,0,3,0,40.0,1,1,15.5,2,0,0
189,0,3,0,36.0,0,0,7.8958,0,0,1
190,1,2,1,32.0,0,0,13.0,0,1,1
191,0,2,0,19.0,0,0,13.0,0,0,1
192,1,3,1,19.0,1,0,7.8542,0,1,0
193,1,2,0,3.0,1,1,26.0,0,2,0
194,1,1,1,44.0,0,0,27.7208,1,1,1
195,1,1,1,58.0,0,0,146.5208,1,1,1
196,0,3,0,28.0,0,0,7.75,2,0,1
197,0,3,0,42.0,0,1,8.4042,0,0,0
198,1,3,1,28.0,0,0,7.75,2,1,1
199,0,2,1,24.0,0,0,13.0,0,1,1
200,0,3,0,28.0,0,0,9.5,0,0,1
201,0,3,0,28.0,8,2,69.55,0,0,0
202,0,3,0,34.0,0,0,6.4958,0,0,1
203,0,3,0,45.5,0,0,7.225,1,0,1
204,1,3,0,18.0,0,0,8.05,0,0,1
205,0,3,1,2.0,0,1,10.4625,0,2,0
206,0,3,0,32.0,1,0,15.85,0,0,0
207,1,3,0,26.0,0,0,18.7875,1,0,1
208,1,3,1,16.0,0,0,7.75,2,1,1
209,1,1,0,40.0,0,0,31.0,1,0,1
210,0,3,0,24.0,0,0,7.05,0,0,1
211,1,2,1,35.0,0,0,21.0,0,1,1
212,0,3,0,22.0,0,0,7.25,0,0,1
213,0,2,0,30.0,0,0,13.0,0,0,1
214,1,1,1,31.0,1,0,113.275,1,1,0
215,1,3,1,27.0,0,0,7.925,0,1,1
216,0,2,0,42.0,1,0,27.0,0,0,0
217,1,1,1,32.0,0,0,76.2917,1,1,1
218,0,2,0,30.0,0,0,10.5,0,0,1
219,1,3,0,16.0,0,0,8.05,0,0,1
220,0,2,0,27.0,0,0,13.0,0,0,1
221,0,3,0,51.0,0,0,8.05,0,0,1
222,0,3,0,28.0,0,0,7.8958,0,0,1
223,1,1,0,38.0,1,0,90.0,0,0,0
224,0,3,0,22.0,0,0,9.35,0,0,1
225,1,2,0,19.0,0,0,10.5,0,0,1
226,0,3,0,20.5,0,0,7.25,0,0,1
227,0,2,0,18.0,0,0,13.0,0,0,1
228,0,3,1,28.0,3,1,25.4667,0,1,0
229,1,1,1,35.0,1,0,83.475,0,1,0
230,0,3,0,29.0,0,0,7.775,0,0,1
231,0,2,0,59.0,0,0,13.5,0,0,1
232,1,3,1,5.0,4,2,31.3875,0,2,0
233,0,2,0,24.0,0,0,10.5,0,0,1
234,0,3,1,28.0,0,0,7.55,0,1,1
235,0,2,0,44.0,1,0,26.0,0,0,0
236,1,2,1,8.0,0,2,26.25,0,2,0
237,0,2,0,19.0,0,0,10.5,0,0,1
238,0,2,0,33.0,0,0,12.275,0,0,1
239,0,3,1,28.0,1,0,14.4542,1,1,0
240,1,3,1,28.0,1,0,15.5,2,1,0
241,0,2,0,29.0,0,0,10.5,0,0,1
242,0,3,0,22.0,0,0,7.125,0,0,1
243,0,3,0,30.0,0,0,7.225,1,0,1
244,0,1,0,44.0,2,0,90.0,2,0,0
245,0,3,1,25.0,0,0,7.775,0,1,1
246,1,2,1,24.0,0,2,14.5,0,1,0
247,1,1,0,37.0,1,1,52.5542,0,0,0
248,0,2,0,54.0,1,0,26.0,0,0,0
249,0,3,0,28.0,0,0,7.25,0,0,1
250,0,3,1,29.0,1,1,10.4625,0,1,0
251,0,1,0,62.0,0,0,26.55,0,0,1
252,0,3,0,30.0,1,0,16.1,0,0,0
253,0,3,1,41.0,0,2,20.2125,0,1,0
254,1,3,1,29.0,0,2,15.2458,1,1,0
255,1,1,1,28.0,0,0,79.2,1,1,1
256,1,1,1,30.0,0,0,86.5,0,1,1
257,1,1,1,35.0,0,0,512.3292,1,1,1
258,1,2,1,50.0,0,1,26.0,0,1,0
259,0,3,0,28.0,0,0,7.75,2,0,1
260,1,3,0,3.0,4,2,31.3875,0,2,0
261,0,1,0,52.0,1,1,79.65,0,0,0
262,0,1,0,40.0,0,0,0.0,0,0,1
263,0,3,1,28.0,0,0,7.75,2,1,1
264,0,2,0,36.0,0,0,10.5,0,0,1
265,0,3,0,16.0,4,1,39.6875,0,0,0
266,1,3,0,25.0,1,0,7.775,0,0,0
267,1,1,1,58.0,0,1,153.4625,0,1,0
268,1,1,1,35.0,0,0,135.6333,0,1,1
269,0,1,0,28.0,0,0,31.0,0,0,1
270,1,3,0,25.0,0,0,0.0,0,0,1
271,1,2,1,41.0,0,1,19.5,0,1,0
272,0,1,0,37.0,0,1,29.7,1,0,0
273,1,3,1,28.0,0,0,7.75,2,1,1
274,1,1,1,63.0,1,0,77.9583,0,1,0
275,0,3,1,45.0,0,0,7.75,0,1,1
276,0,2,0,28.0,0,0,0.0,0,0,1
277,0,3,0,7.0,4,1,29.125,2,2,0
278,1,3,1,35.0,1,1,20.25,0,1,0
279,0,3,0,65.0,0,0,7.75,2,0,1
280,0,3,0,28.0,0,0,7.8542,0,0,1
281,0,3,0,16.0,0,0,9.5,0,0,1
282,1,3,0,19.0,0,0,8.05,0,0,1
283,0,1,0,28.0,0,0,26.0,0,0,1
284,0,3,0,33.0,0,0,8.6625,1,0,1
285,1,3,0,30.0,0,0,9.5,0,0,1
286,0,3,0,22.0,0,0,7.8958,0,0,1
287,1,2,0,42.0,0,0,13.0,0,0,1
288,1,3,1,22.0,0,0,7.75,2,1,1
289,1,1,1,26.0,0,0,78.85,0,1,1
290,1,1,1,19.0,1,0,91.0792,1,1,0
291,0,2,0,36.0,0,0,12.875,1,0,1
292,0,3,1,24.0,0,0,8.85,0,1,1
293,0,3,0,24.0,0,0,7.8958,0,0,1
294,0,1,0,28.0,0,0,27.7208,1,0,1
295,0,3,0,23.5,0,0,7.2292,1,0,1
296,0,1,1,2.0,1,2,151.55,0,2,0
297,1,1,0,28.0,0,0,30.5,0,0,1
298,1,1,1,50.0,0,1,247.5208,1,1,0
299,1,3,1,28.0,0,0,7.75,2,1,1
300,1,3,0,28.0,2,0,23.25,2,0,0
301,0,3,0,19.0,0,0,0.0,0,0,1
302,1,2,1,28.0,0,0,12.35,2,1,1
303,0,3,0,28.0,0,0,8.05,0,0,1
304,1,1,0,0.92,1,2,151.55,0,2,0
305,1,1,1,28.0,0,0,110.8833,1,1,1
306,1,1,1,17.0,1,0,108.9,1,1,0
307,0,2,0,30.0,1,0,24.0,1,0,0
308,1,1,1,30.0,0,0,56.9292,1,1,1
309,1,1,1,24.0,0,0,83.1583,1,1,1
310,1,1,1,18.0,2,2,262.375,1,1,0
311,0,2,1,26.0,1,1,26.0,0,1,0
312,0,3,0,28.0,0,0,7.8958,0,0,1
313,0,2,0,43.0,1,1,26.25,0,0,0
314,1,3,1,26.0,0,0,7.8542,0,1,1
315,1,2,1,24.0,1,0,26.0,0,1,0
316,0,2,0,54.0,0,0,14.0,0,0,1
317,1,1,1,31.0,0,2,164.8667,0,1,0
318,1,1,1,40.0,1,1,134.5,1,1,0
319,0,3,0,22.0,0,0,7.25,0,0,1
320,0,3,0,27.0,0,0,7.8958,0,0,1
321,1,2,1,30.0,0,0,12.35,2,1,1
322,1,2,1,22.0,1,1,29.0,0,1,0
323,0,3,0,28.0,8,2,69.55,0,0,0
324,1,1,1,36.0,0,0,135.6333,1,1,1
325,0,3,0,61.0,0,0,6.2375,0,0,1
326,1,2,1,36.0,0,0,13.0,0,1,1
327,1,3,1,31.0,1,1,20.525,0,1,0
328,1,1,1,16.0,0,1,57.9792,1,1,0
329,1,3,1,28.0,2,0,23.25,2,1,0
330,0,1,0,45.5,0,0,28.5,0,0,1
331,0,1,0,38.0,0,1,153.4625,0,0,0
332,0,3,0,16.0,2,0,18.0,0,0,0
333,1,1,1,28.0,1,0,133.65,0,1,0
334,0,3,0,28.0,0,0,7.8958,0,0,1
335,0,1,0,29.0,1,0,66.6,0,0,0
336,1,1,1,41.0,0,0,134.5,1,1,1
337,1,3,0,45.0,0,0,8.05,0,0,1
338,0,1,0,45.0,0,0,35.5,0,0,1
339,1,2,0,2.0,1,1,26.0,0,2,0
340,1,1,1,24.0,3,2,263.0,0,1,0
341,0,2,0,28.0,0,0,13.0,0,0,1
342,0,2,0,25.0,0,0,13.0,0,0,1
343,0,2,0,36.0,0,0,13.0,0,0,1
344,1,2,1,24.0,0,0,13.0,0,1,1
345,1,2,1,40.0,0,0,13.0,0,1,1
346,1,3,1,28.0,1,0,16.1,0,1,0
347,1,3,0,3.0,1,1,15.9,0,2,0
348,0,3,0,42.0,0,0,8.6625,0,0,1
349,0,3,0,23.0,0,0,9.225,0,0,1
350,0,1,0,28.0,0,0,35.0,0,0,1
351,0,3,0,15.0,1,1,7.2292,1,2,0
352,0,3,0,25.0,1,0,17.8,0,0,0
353,0,3,0,28.0,0,0,7.225,1,0,1
354,0,3,0,28.0,0,0,9.5,0,0,1
355,1,1,1,22.0,0,1,55.0,0,1,0
356,0,2,1,38.0,0,0,13.0,0,1,1
357,1,3,1,28.0,0,0,7.8792,2,1,1
358,1,3,1,28.0,0,0,7.8792,2,1,1
359,0,3,0,40.0,1,4,27.9,0,0,0
360,0,2,0,29.0,1,0,27.7208,1,0,0
361,0,3,1,45.0,0,1,14.4542,1,1,0
362,0,3,0,35.0,0,0,7.05,0,0,1
363,0,3,0,28.0,1,0,15.5,2,0,0
364,0,3,0,30.0,0,0,7.25,0,0,1
365,1,1,1,60.0,1,0,75.25,1,1,0
366,1,3,1,28.0,0,0,7.2292,1,1,1
367,1,3,1,28.0,0,0,7.75,2,1,1
368,1,1,1,24.0,0,0,69.3,1,1,1
369,1,1,0,25.0,1,0,55.4417,1,0,0
370,0,3,0,18.0,1,0,6.4958,0,0,0
371,0,3,0,19.0,0,0,8.05,0,0,1
372,0,1,0,22.0,0,0,135.6333,1,0,1
373,0,3,1,3.0,3,1,21.075,0,2,0
374,1,1,1,28.0,1,0,82.1708,1,1,0
375,1,3,1,22.0,0,0,7.25,0,1,1
376,0,1,0,27.0,0,2,211.5,1,0,0
377,0,3,0,20.0,0,0,4.0125,1,0,1
378,0,3,0,19.0,0,0,7.775,0,0,1
379,1,1,1,42.0,0,0,227.525,1,1,1
380,1,3,1,1.0,0,2,15.7417,1,2,0
381,0,3,0,32.0,0,0,7.925,0,0,1
382,1,1,1,35.0,1,0,52.0,0,1,0
383,0,3,0,28.0,0,0,7.8958,0,0,1
384,0,2,0,18.0,0,0,73.5,0,0,1
385,0,3,0,1.0,5,2,46.9,0,2,0
386,1,2,1,36.0,0,0,13.0,0,1,1
387,0,3,0,28.0,0,0,7.7292,2,0,1
388,1,2,1,17.0,0,0,12.0,1,1,1
389,1,1,0,36.0,1,2,120.0,0,0,0
390,1,3,0,21.0,0,0,7.7958,0,0,1
391,0,3,0,28.0,2,0,7.925,0,0,0
392,1,1,1,23.0,1,0,113.275,1,1,0
393,1,3,1,24.0,0,2,16.7,0,1,0
394,0,3,0,22.0,0,0,7.7958,0,0,1
395,0,3,1,31.0,0,0,7.8542,0,1,1
396,0,2,0,46.0,0,0,26.0,0,0,1
397,0,2,0,23.0,0,0,10.5,0,0,1
398,1,2,1,28.0,0,0,12.65,0,1,1
399,1,3,0,39.0,0,0,7.925,0,0,1
400,0,3,0,26.0,0,0,8.05,0,0,1
401,0,3,1,21.0,1,0,9.825,0,1,0
402,0,3,0,28.0,1,0,15.85,0,0,0
403,0,3,1,20.0,0,0,8.6625,0,1,1
404,0,2,0,34.0,1,0,21.0,0,0,0
405,0,3,0,51.0,0,0,7.75,0,0,1
406,1,2,0,3.0,1,1,18.75,0,2,0
407,0,3,0,21.0,0,0,7.775,0,0,1
408,0,3,1,28.0,3,1,25.4667,0,1,0
409,0,3,0,28.0,0,0,7.8958,0,0,1
410,0,3,0,28.0,0,0,6.8583,2,0,1
411,1,1,1,33.0,1,0,90.0,2,1,0
412,0,2,0,28.0,0,0,0.0,0,0,1
413,1,3,0,44.0,0,0,7.925,0,0,1
414,0,3,1,28.0,0,0,8.05,0,1,1
415,1,2,1,34.0,1,1,32.5,0,1,0
416,1,2,1,18.0,0,2,13.0,0,1,0
417,0,2,0,30.0,0,0,13.0,0,0,1
418,0,3,1,10.0,0,2,24.15,0,2,0
419,0,3,0,28.0,0,0,7.8958,1,0,1
420,0,3,0,21.0,0,0,7.7333,2,0,1
421,0,3,0,29.0,0,0,7.875,0,0,1
422,0,3,1,28.0,1,1,14.4,0,1,0
423,0,3,0,18.0,1,1,20.2125,0,0,0
424,0,3,0,28.0,0,0,7.25,0,0,1
425,1,2,1,28.0,1,0,26.0,0,1,0
426,1,2,1,19.0,0,0,26.0,0,1,1
427,0,3,0,28.0,0,0,7.75,2,0,1
428,1,3,0,32.0,0,0,8.05,0,0,1
429,1,1,0,28.0,0,0,26.55,0,0,1
430,1,3,1,28.0,1,0,16.1,0,1,0
431,1,2,1,42.0,1,0,26.0,0,1,0
432,0,3,0,17.0,0,0,7.125,0,0,1
433,0,1,0,50.0,1,0,55.9,0,0,0
434,1,1,1,14.0,1,2,120.0,0,2,0
435,0,3,1,21.0,2,2,34.375,0,1,0
436,1,2,1,24.0,2,3,18.75,0,1,0
437,0,1,0,64.0,1,4,263.0,0,0,0
438,0,2,0,31.0,0,0,10.5,0,0,1
439,1,2,1,45.0,1,1,26.25,0,1,0
440,0,3,0,20.0,0,0,9.5,0,0,1
441,0,3,0,25.0,1,0,7.775,0,0,0
442,1,2,1,28.0,0,0,13.0,0,1,1
443,1,3,0,28.0,0,0,8.1125,0,0,1
444,1,1,0,4.0,0,2,81.8583,0,2,0
